Gene,Slope,P-value,FDR
PRAMEF5,0.0085148437780313,0.5418758006398514,
PRAMEF32P,0.0051385671283904,0.2395171209564894,
RNU6-771P,0.0,,
PRAMEF8,0.0101363144998842,0.5182493408884392,
PRAMEF33,-0.0085433604246421,0.5869024095187632,
PRAMEF15,-0.0158232783756541,0.5185802723683233,
RP11-219C24.10,0.0014954482871055,0.6897722110897639,
PRAMEF14,-0.0209934397571894,0.3558410714911001,
PRAMEF19,-0.0007130719901878,0.9775351569184492,
PRAMEF17,0.0019304228098888,0.9329123890051524,
PRAMEF20,0.0152465421502753,0.5258811002889376,
LRRC38,-0.0211547376831357,0.8221665275497598,
RP4-597A16.2,-0.0072482344904916,0.1329010283462321,
BRWD1P1,0.0213951686271584,0.0227796957763946,
PDPN,0.074251992912979,0.6158691360736288,
RNA5SP41,0.0,,
CTA-520D8.2,0.0018881650029632,0.8130137947478522,
SCARNA11,-0.0061157293735263,0.5193673976380393,
PRDM2,0.1066342217138828,0.0164171859441464,
KAZN,0.0489300949088053,0.6324744077384775,
RNU6-1265P,0.0,,
RP11-344F13.1,0.0010654490831989,0.8921535435405603,
RP4-704D23.1,0.0075020062560869,0.5159298072139827,
TBCAP2,-0.0176113329381596,0.0383548711230976,
TMEM51-AS1,-0.0875177593965853,0.3137420219162847,
TMEM51,-0.1517369176318876,0.1843506652798837,
C1orf195,-0.0149906331690196,0.6308907298951736,
RP1-21O18.3,-0.0259353879288872,0.3925249707916388,
RP5-903E17.2,0.0757348663705205,0.0648352049875624,
FHAD1,0.0540318628549353,0.5335411311188254,
RP3-467K16.2,0.0887825449438542,0.3215947939106581,
RP3-467K16.7,0.0221127865836189,0.5795979758205582,
RP3-467K16.4,0.2877265941441584,0.0035609787768164,
EFHD2,0.0393086921158519,0.5257825268867715,
CTRC,0.2055676458784439,0.0046490289123604,
CELA2A,0.1940639196258642,0.2389580372729923,
CELA2B,0.2355773075187721,0.0227008208925983,
CASP9,-0.0637339270628998,0.0531079175843436,
DNAJC16,0.0445444474994315,0.1762285374992152,
SCARNA21,0.0013316748717442,0.9100418938197992,
RP4-680D5.8,0.0013170573106892,0.9816086917621688,
AGMAT,-0.0169825411058129,0.8372456187290258,
RP4-680D5.2,0.0478796257778144,0.5724115727411472,
CHCHD2P6,-0.0046415852557934,0.9536362939173664,
RNU7-179P,0.0033734894345182,0.1603314696236161,
CD24P1,0.0084116624742368,0.4276295457296599,
DDI2,0.014397272942486,0.755454319254766,
RP4-680D5.9,-0.1430866859220894,0.0177319238927915,
PLEKHM2,-0.1145025862547676,0.0001119310170577,
RP11-288I21.1,-0.0424739842743649,0.5670477054467626,
SLC25A34,0.2080393645983248,0.0220075214762171,
TMEM82,0.009238668457142,0.9054472218267812,
RP11-169K16.4,-0.0172627444912076,0.5242407554172126,
FBLIM1,-0.0370145888107353,0.7487614520663567,
RPL12P14,0.0402065245078529,0.6469051269758269,
UQCRHL,0.0389097548310427,0.4406805088856921,
RP11-169K16.8,-0.1067516076047054,0.2407930398531671,
FLJ37453,0.0614578707178808,0.2780356153980181,
SPEN,0.0542020019252825,0.1832447296440337,
RP1-134O19.3,-0.0327241586784485,0.4479930635009532,
ZBTB17,-0.1427878489665777,5.007001233177279e-06,
RP11-5P18.1,-0.059251975771817,0.4170424225839066,
RP11-5P18.3,-0.0116986672918323,0.355920893909294,
RP11-5P18.11,0.0032930955282844,0.7553629596231812,
TBC1D3P6,-0.0039865840466042,0.8421801257921785,
C1orf64,-0.072506273291763,0.2120604067120765,
HSPB7,0.0498006862590375,0.7258305628056823,
CLCNKA,0.0458404430603557,0.608477413711951,
RP11-5P18.10,-0.0023200239310346,0.9450792143509066,
CLCNKB,0.0275889331913586,0.7105011278052596,
FAM131C,0.0715483589797485,0.3293737253869114,
EPHA2,-0.2743353074105575,0.0104458621737063,
RP11-276H7.2,0.0514129147744248,0.2989265097014104,
RP11-276H7.3,0.0549127655822402,0.01689113509803,
ARHGEF19,-0.0388486320446326,0.4956432925675053,
ANO7L1,-0.3513437872926913,0.0001650480356871,
RSG1,-0.0058834981509369,0.9093051656721264,
MT1XP1,-0.2248039703160824,0.032623447766319,
FBXO42,-0.079382124216627,0.0019479481511549,
SZRD1,-0.0819795895525235,0.0036862347995428,
RP11-430L17.1,-0.1932216915738874,0.0049958043323103,
SPATA21,0.0930802136690272,0.1758021434941626,
NECAP2,-0.0383061660329084,0.1383071377028289,
LINC01772,-0.0502146749960184,0.4357360751436668,
CROCCP3,0.0009037513252112,0.9855671151538704,
RNU1-1,-0.0027529646448208,0.8556523562313649,
RP4-798A10.7,-0.1028304542055602,0.1394797970714145,
RP4-798A10.4,0.0399121281702654,0.170295314404583,
LINC01783,0.0765472283344713,0.2844571929442077,
RNU1-6P,0.0,,
FAM231B,-0.0071999161523562,0.6928463793247184,
RP5-875O13.6,0.01748206868312,0.4265098132740739,
NBPF1,-0.0115086022285868,0.8377115937206481,
RP5-1182A14.5,0.1187216870780693,0.0126572483962064,
CROCCP2,-0.0286573756904467,0.5323591342521858,
MST1P2,-0.0851416713454355,0.2941528524906556,
RP1-163M9.8,0.0050137061264099,0.8304741890713648,
RNU1-3,-0.0079472627318662,0.3566607543932741,
